COURSE NO.,COURSE TITLE,SECTION,INSTRUCTOR,ROOM,DAYS,HOURS
BITS F111,THERMODYNAMICS,1,Jaideep Chatterjee,F102,T Th S,2
BITS F111,THERMODYNAMICS,2,JEEVAN JAIDI,F104,M W F,1
BITS F111,Tutorial,1,Ramesh Babu A,F201,T Th,8
BITS F111,Tutorial,2,D Purnima,G203,T Th,8
BITS F111,Tutorial,3,Karthik Chetan,G204,T Th,8
BITS F111,Tutorial,4,Nandini Bhandaru,G207,T Th,8
BITS F111,Tutorial,5,Afkham Mir,F109,T Th,8
BITS F111,Tutorial,6,Jeevan Jaidi,F107,T Th,8
BITS F111,Tutorial,7,Santanu Prasad Datta,F108,T Th,8
BITS F111,Tutorial,8,M Srinivas,F205,T Th,8
BITS F111,Tutorial,9,Sayan Das,F207,T Th,8
BITS F111,Tutorial,10,Jayaprakash K S,F208,T Th,8
BITS F112,TECHNICAL REPORT WRITING,1,SHILPAA ANAND,F103,T Th,1
BITS F112,TECHNICAL REPORT WRITING,2,Spandan Bhattacharya,F104,T Th,1
BITS F112,TECHNICAL REPORT WRITING,3,Tony Sebastian,F105,T Th,1
BITS F113,GENERAL MATHEMATICS I,1,ROHIT GUPTA,J107,M W F,1
BITS F113,Tutorial,1,Pankaj Patel,F201,T,9
BITS F214,SCIENCE TECH & MODERNITY,1,BISWANATH DASH,J107,M W F,9
BITS F218,GENERAL MATHEMATICS III,1,JHUMA SEN GUPTA,I210,M W F,10
BITS F218,Tutorial,1,Nakidi Shravani,F201,Th,9
BITS F225,ENVIRONMENTAL STUDIES,1,A VASAN,F102,M W F,4
BITS F232,FOUNDATIONS OF DATA STRUCTURES AND ALGORITHMS,1,CHITTARANJAN HOTA,F105,T Th S,4
BITS F232,Practical,1,Chittaranjan Hota,I015,T,7 8
BITS F232,Practical,2,Chittaranjan Hota,I015,Th,7 8
BITS F232,Practical,3,Barsha Mitra,I015,W,4 5
BITS F232,Practical,4,Barsha Mitra,I015,F,4 5
BITS F232,Practical,5,Aneesh Sreevallabh Chivuku,I015,M,4 5
BITS F234,INTRODUCTION TO ENGINEERING DESIGN,1,ARNAB GUHA,F101,M,4
BITS F234,Practical,1,Lingampally Swetha,D208 B,W,3 4
BITS F311,IMAGE PROCESSING,1,ABHIJIT DAS,F107,T Th S,2
BITS F312,NEURAL NETWORKS AND FUZZY LOGIC,1,K SRINIVASA RAJU,F108,T Th S,2
BITS F314,GAME THEORY AND ITS APPLICATIONS,1,VIVEKANANDA MUKHERJE,F208,M W F,3
BITS F316,NONLINEAR DYNA & CHAOS,1,PK THIRUVIKRAMAN,G201,T Th S,4
BITS F364,HUMAN COMPUTER INTERACTION,1,DIPANJAN CHAKRABORTY,I111,M W F,3
BITS F386,QUANTUM INFO & COMPUTING,1,TSL RADHIKA,I213,T Th S,2
BITS F415,INTRODUCTION TO MEMS,1,SANKET GOEL,J220,M W F,2
BITS F415,Practical,1,Satish K Dubey,J204,Th,7 8
BITS F415,Practical,2,Pavar Sai Kumar,J204,W,6 7
BITS F418,INTRO TO BIOMEDICAL ENGG,1,KAVI DEVRAJ,G104,M W F,8
BITS F418,Practical,1,Chhavi Dhiman,LAB,T,7 8
BITS F431,FLEXIBLE MANUFACTURING SYSTEMS,1,ABHISHEK SARKAR,F101,M W F,5
BITS F431,Practical,1,P  Chennakesava Sai,LAB,T,8 9
BITS F437,TECHNICAL COMMUNICATION,1,ARUNA LOLLA,J107,T Th S,1
BITS F452,BLOCKCHAIN TECHNOLOGY,1,G GEETHAKUMARI,F106,M W F,8
BITS F464,MACHINE LEARNING,1,MANIK GUPTA,F106,M W F,2
BITS F467,BIOETHICS AND BIOSAFETY,1,RUCHI JAIN DEY,G104,T Th S,4
BITS G524,HEALTH ECONOMICS AND POLICY,1,MINI THOMAS,J119,T Th S,4
BITS G526,DATA SCIENCES I,1,K VENKATA RATNAM,J119,T Th S,5
BITS G553,REAL TIME SYSTEMS,1,SOUMYA J,I114,M W F,4
BITS G553,Practical,1,Soumya J,J105,F,7 8
CE F211,MECHANICS OF SOLIDS,1,RAGHU PISKA,F109,M W F,2
CE F211,Tutorial,1,Raghu Piska,F109,T,1
CE F213,SURVEYING,1,K RAJITHA,F109,T Th S,4
CE F213,Practical,1,Krishnendu Sivadas,D110,Th,6 7
CE F213,Practical,2,Nagalapalli Satish,D110,M,6 7
CE F213,Tutorial,2,K Rajitha,F109,S,1
CE F230,CIVIL ENGINEERING MATERIALS,1,PN RAO,F109,M W F,8
CE F230,Practical,1,Sk Abdul Kaium,D127,W,6 7
CE F230,Practical,2,Pujitha Ganapathi C,D127,F,6 7
CE F230,Tutorial,2,PN Rao,F109,Th,1
CE F231,FLUID MECHANICS,1,K SRINIVASA RAJU,F109,M W F,3
CE F231,Tutorial,1,K Srinivasa Raju,F109,T,9
CE F312,HYDRAULIC ENGINEERING,1,ANMALA JAGADEESH,F109,T Th S,5
CE F312,Practical,1,Deepjyoti Deb,E122,T,8 9
CE F312,Tutorial,1,Anmala Jagadeesh,F109,W,1
CE F313,FOUNDATION ENGINEERING,1,AMMAVAJJULA SESHA SAI,F109,M W F,5
CE F313,Tutorial,1,Ammavajjula Sesha Sai Rag,F109,F,1
CE F320,DESIGN OF REINFORCED CONCRETE,1,ARKAMITRA KAR,F109,T Th S,3
CE F320,Tutorial,1,Arkamitra Kar,F109,M,1
CE F323,INTRO TO ENVIRN ENGG,1,MURARI R R VARMA,F201,M W F,3
CE F417,APP OF AI IN CIVIL ENGG,1,ANMALA JAGADEESH,F201,M W F,8
CE F428,EARTHQUAKE RES DES & CON,1,MOHAN S C,F201,M W F,2
CE F431,PRIN OF GEO INFO SYST,1,K RAJITHA,F201,M W F,9
CE F431,Practical,1,K Rajitha,LAB,Th,8 9
CE G534,PAVEMENT MATERIAL CHARAC,1,V VINAYAKA RAM,F202,M W F,4
CE G534,Practical,1,V Vinayaka Ram,LAB,T,8 9
CE G537,TRANSPORT ECON & FINANCE,1,ISHANT SHARMA,F202,T Th S,3
CE G537,Practical,1,Ishant Sharma,LAB,W,8 9
CE G538,PROJECT PLAN & MGMT,1,BAHURUDEEN A,F203,M W F,4
CE G538,Practical,1,Bahurudeen A,D331A,F,8 9
CE G545,AIRPORT PLANNING & DES,1,SRIDHAR RAJU,F203,M W F,3
CE G545,Practical,1,Sridhar Raju,D224,Th,8 9
CE G551,DYNAMICS OF STRUCTURES,1,MOHAN S C,F201,T Th S,3
CE G551,Practical,1,Mohan S C,D123,W,8 9
CE G552,ADV STR MECH & STABILITY,1,CHANDU PARIMI,F201,M W F,4
CE G552,Practical,1,Chandu Parimi,D208 A,T,8 9
CE G562,ADVANCED CONCRETE TECHNOLOGY,1,ARKAMITRA KAR,F109,M W F,4
CE G562,Practical,1,Arkamitra Kar,D208 A,Th,6 7
CE G565,TRANSPORTATION PLANNING,1,PRASANTA KUMAR SAHU,F202,M W F,5
CE G565,Practical,1,Prasanta Kumar Sahu,D224,W,8 9
CE G567,HIGHWAY DESIGN,1,AKSHAY GUNDLA,F201,T Th S,2
CE G567,Practical,1,Akshay Gundla,D224,Th,6 7
CE G568,TRAFFIC SYSTEMS ANALYSIS,1,ISHANT SHARMA,F202,M W F,3
CE G568,Practical,1,Ishant Sharma,D224,F,8 9
CE G571,ROAD ASSET MANAGEMENT,1,V VINAYAKA RAM,F202,T Th S,4
CE G571,Practical,1,V Vinayaka Ram,LAB,M,8 9
CE G572,TRANSPORTATION DATA ANALYTICS,1,PRASANTA KUMAR SAHU,F202,T Th S,5
CE G572,Practical,1,Prasanta Kumar Sahu,D224,T,8 9
CE G612,ADVANCED STEEL STRUCTURE,1,CHANDU PARIMI,F203,T Th S,5
CE G612,Practical,1,Chandu Parimi,D331,F,8 9
CE G614,PRESTRESS CONCRETE STRUC,1,BAHURUDEEN A,F203,T Th S,4
CE G614,Practical,1,Bahurudeen A,D208 C,M,6 7
CE G617,ADVANCE STRUC ANALYSIS,1,PN RAO,F201,M W F,5
CE G617,Practical,1,PN Rao,D331,Th,8 9
CE G619,FINITE ELEMENT ANALYSIS,1,RAGHU PISKA,F201,T Th S,5
CE G619,Practical,1,Raghu Piska,D208 C,M F,8 9
CE G620,ADVANCE FOUNDATION ENGG,1,ANASUA GUHARAY,F203,T Th S,3
CE G620,Practical,1,Anasua Guharay,D208 C,W,8 9
CHE F211,CHEMICAL PROCESS CALCULA,1,IYMAN ABRAR,F205,M W F,8
CHE F211,Tutorial,1,Iyman Abrar,F205,T,1
CHE F212,FLUID MECHANICS,1,NANDINI BHANDARU,G207,M W F,3
CHE F212,Tutorial,1,Nandini Bhandaru,G207,S,1
CHE F213,CHEM ENGG THERMODYNAMICS,1,RAMENDRA KISHOR PAL,F205,M W F,2
CHE F213,Tutorial,1,Ramendra Kishor Pal,F204,T,9
CHE F214,ENGINEERING CHEMISTRY,1,KARTHIK CHETAN,F205,T Th S,4
CHE F214,Tutorial,1,Karthik Chetan,F201,Th,1
CHE F311,KINETICS & REACTOR DESIGN,1,BALAJI KRISHNAMURTHY,F205,M W F,4
CHE F311,Tutorial,1,Balaji Krishnamurthy,F205,M,1
CHE F312,CHEMICAL ENGG LAB I,1,SRIKANTA DINDA,WS,T Th,3 4 5
CHE F312,CHEMICAL ENGG LAB I,2,Afkham Mir,WS,T Th,3 4 5
CHE F313,SEPARATION PROCESSES II,1,JAIDEEP CHATTERJEE,F205,M W F,5
CHE F313,Tutorial,1,Jaideep Chatterjee,F204,S,5
CHE F314,PROCESS DES PRINCIPLES I,1,ARNAB DUTTA,F205,T Th,9
CHE F314,PROCESS DES PRINCIPLES I,1,Arnab Dutta,F205,W,1
CHE F314,Tutorial,1,Arnab Dutta,D208 A,S,1
CHE F418,MODEL & SIMU IN CHE ENGG,1,VIKRANT KUMAR S,D208 B,M W F,2
CHE F421,BIOCHEMICAL ENGINEERING,1,DEBIRUPA MITRA,F204,M W F,8
CHE G523,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING,1,BALAJI KRISHNAMURTHY,F204,M W F,7
CHE G523,Practical,1,Balaji Krishnamurthy,D208 B,T Th,8 9
CHE G528,INTRO TO NANO SCI & TECH,1,SATYAPAUL SINGH AMART,F204,T Th S,2
CHE G528,Practical,1,Satyapaul Singh Amarthaluri,LAB,F,9 10
CHE G558,CHEMICAL PROCESS OPTIMIZATION,1,ARNAB DUTTA,F204,M W F,3
CHE G622,ADV CHEMICAL ENGG THERMO,1,D PURNIMA,F204,T Th S,3
CHE G622,Practical,1,Dubbaka Vidya,D331,M,8 9 10
CHEM F110,CHEMISTRY LABORATORY,1,MANAB CHAKRAVARTY,B124,M,7 8
CHEM F110,CHEMISTRY LABORATORY,2,Chanchal Chakraborty,B124,W,7 8
CHEM F110,CHEMISTRY LABORATORY,3,Balaji Gopalan,B124,T,5 6
CHEM F110,CHEMISTRY LABORATORY,4,Amit Nag,B124,Th,3 4
CHEM F110,CHEMISTRY LABORATORY,5,Sourav Bag,B124,S,3 4
CHEM F110,CHEMISTRY LABORATORY,6,Himanshu Aggarwal,B124,Th,5 6
CHEM F110,CHEMISTRY LABORATORY,7,Satya Narayan Guin,B124,M,2 3
CHEM F110,CHEMISTRY LABORATORY,8,J Subbalakshmi,B124,F,7 8
CHEM F110,CHEMISTRY LABORATORY,9,KVG Chandrasekhar,B124,W,2 3
CHEM F110,CHEMISTRY LABORATORY,10,R Krishnan,B124,F,2 3
CHEM F110,CHEMISTRY LABORATORY,11,Tanmay Chatterjee,B124,T,3 4
CHEM F111,GENERAL CHEMISTRY,1,RAMAKRISHNAN G,F103,T Th S,2
CHEM F111,GENERAL CHEMISTRY,2,Tanmay Chatterjee,F102,M W F,5
CHEM F111,Tutorial,1,Nilanjan Dey,G101,T Th,8
CHEM F111,Tutorial,2,Arijit Mukherjee,G102,T Th,10
CHEM F111,Tutorial,3,Satya Narayan Guin,G103,T Th,8
CHEM F111,Tutorial,4,Sourav Bag,G104,T Th,8
CHEM F111,Tutorial,5,K Sumithra,G105,T Th,8
CHEM F111,Tutorial,6,Anupam Bhattacharya,F106,T Th,8
CHEM F111,Tutorial,7,Ramakrishnan G,G107,T Th,8
CHEM F111,Tutorial,8,Durba Roy,G108,T Th,8
CHEM F111,Tutorial,9,Tanmay Chatterjee,G201,T Th,8
CHEM F111,Tutorial,10,J Subbalakshmi,G202,T Th,8
CHEM F211,PHYSICAL CHEMISTRY I,1,BALAJI GOPALAN,G101,M W F,8
CHEM F211,Tutorial,1,Balaji Gopalan,G101,T,9
CHEM F212,ORGANIC CHEMISTRY I,1,ANUPAM BHATTACHARYA,G101,M W F,2
